# ASR reference measurements. One machine, one OS, one set of dependency versions.
# Machine: Apple M5 (24 GB), macOS 26.6.2, Swift 6.2, speech built -c release,
# FluidAudio 0.15.6, transcribe.cpp 0.2.3. Produced by `speech eval --report`.
#
# These are a starting reference point, not the truth on any other machine. Speech.app
# re-measures locally; see the benchmarking section of the development plan.
#
id	language	corpus	utterances	wer	cer	rtfx	peak_memory_bytes	load_seconds	machine	os	date
apple.dictation	en	fleurs/en_us	647	13.08	5.94	34.6	21611168	0.05	Apple M5	26.6.2	2026-09-04
apple.dictation	pl	fleurs/pl_pl	758	13.16	6.69	61.3	20120248	0.05	Apple M5	26.6.2	2026-09-04
apple.dictation	de	fleurs/de_de	862	12.98	3.92	56.8	24887992	13.05	Apple M5	26.6.2	2026-09-04
apple.transcriber	en	fleurs/en_us	647	8.03	3.59	60.0	17892000	0.05	Apple M5	26.6.2	2026-09-04
apple.transcriber	de	fleurs/de_de	862	6.51	2.15	124.4	20382368	0.05	Apple M5	26.6.2	2026-09-04
fluid.canary-1b-v2@int4	en	fleurs/en_us	647	6.36	2.87	7.3	340691200	10.62	Apple M5	26.6.2	2026-09-04
fluid.canary-1b-v2@int4	pl	fleurs/pl_pl	758	11.77	5.16	6.0	305268968	0.18	Apple M5	26.6.2	2026-09-04
fluid.canary-1b-v2@int4	de	fleurs/de_de	862	6.96	2.99	7.7	321980648	0.19	Apple M5	26.6.2	2026-09-04
fluid.nemotron-multilingual@1120	en	fleurs/en_us	647	10.63	5.99	76.3	645006104	12.65	Apple M5	26.6.2	2026-09-04
fluid.nemotron-multilingual@1120	pl	fleurs/pl_pl	758	17.39	6.99	58.4	645612240	0.13	Apple M5	26.6.2	2026-09-04
fluid.nemotron-multilingual@1120	de	fleurs/de_de	862	10.37	4.84	63.0	646710040	10.75	Apple M5	26.6.2	2026-09-04
fluid.nemotron-multilingual@2240	en	fleurs/en_us	647	10.58	5.96	67.3	648790808	11.54	Apple M5	26.6.2	2026-09-04
fluid.nemotron-multilingual@2240	pl	fleurs/pl_pl	758	17.24	6.97	66.3	651330280	0.13	Apple M5	26.6.2	2026-09-04
fluid.nemotron-multilingual@2240	de	fleurs/de_de	862	10.28	4.78	72.8	653329128	0.13	Apple M5	26.6.2	2026-09-04
fluid.parakeet-unified@fp16	en	fleurs/en_us	647	4.90	2.36	159.9	1282228944	17.48	Apple M5	26.6.2	2026-09-04
fluid.parakeet-unified@int8	en	fleurs/en_us	647	4.90	2.37	159.3	704856808	9.86	Apple M5	26.6.2	2026-09-04
fluid.parakeet-v3@int4	en	fleurs/en_us	647	9.29	4.93	130.6	410518272	8.72	Apple M5	26.6.2	2026-09-04
fluid.parakeet-v3@int4	pl	fleurs/pl_pl	758	16.47	5.30	119.6	414712504	0.09	Apple M5	26.6.2	2026-09-04
fluid.parakeet-v3@int4	de	fleurs/de_de	862	10.20	3.52	147.6	448463568	0.08	Apple M5	26.6.2	2026-09-04
fluid.parakeet-v3@int8	en	fleurs/en_us	647	5.89	2.72	129.9	566641336	0.11	Apple M5	26.6.2	2026-09-04
fluid.parakeet-v3@int8	pl	fleurs/pl_pl	758	7.77	2.47	121.2	560874168	0.10	Apple M5	26.6.2	2026-09-04
fluid.parakeet-v3@int8	de	fleurs/de_de	862	5.57	1.70	151.5	578028216	0.09	Apple M5	26.6.2	2026-09-04
ggml.canary-1b-v2@q8_0	en	fleurs/en_us	647	4.92	2.04	52.6	1332709128	0.35	Apple M5	26.6.2	2026-09-05
ggml.canary-1b-v2@q8_0	pl	fleurs/pl_pl	758	6.82	2.66	47.3	1323386584	0.27	Apple M5	26.6.2	2026-09-05
ggml.canary-1b-v2@q8_0	de	fleurs/de_de	862	4.41	1.42	55.7	1382827784	0.26	Apple M5	26.6.2	2026-09-05
ggml.nemotron-3.5-asr-streaming-0.6b@q8_0	en	fleurs/en_us	647	10.36	5.82	55.3	1035699664	0.23	Apple M5	26.6.2	2026-09-05
ggml.nemotron-3.5-asr-streaming-0.6b@q8_0	pl	fleurs/pl_pl	758	17.75	7.11	50.2	1033749968	0.21	Apple M5	26.6.2	2026-09-05
ggml.nemotron-3.5-asr-streaming-0.6b@q8_0	de	fleurs/de_de	862	10.29	4.90	54.2	1048364544	0.21	Apple M5	26.6.2	2026-09-05
ggml.parakeet-tdt-0.6b-v3@q8_0	en	fleurs/en_us	647	5.42	2.34	114.7	979027408	0.19	Apple M5	26.6.2	2026-09-05
ggml.parakeet-tdt-0.6b-v3@q8_0	pl	fleurs/pl_pl	758	7.36	2.29	106.1	983811464	0.18	Apple M5	26.6.2	2026-09-05
ggml.parakeet-tdt-0.6b-v3@q8_0	de	fleurs/de_de	862	5.21	1.55	117.5	997934568	0.21	Apple M5	26.6.2	2026-09-05
ggml.parakeet-unified-en-0.6b@q8_0	en	fleurs/en_us	647	4.92	2.36	101.6	912065928	0.24	Apple M5	26.6.2	2026-09-05
ggml.qwen3-asr-0.6b@q8_0	en	fleurs/en_us	647	4.83	2.21	33.7	1581975400	0.30	Apple M5	26.6.2	2026-09-05
ggml.qwen3-asr-0.6b@q8_0	pl	fleurs/pl_pl	758	24.80	9.07	22.5	1577535312	0.27	Apple M5	26.6.2	2026-09-05
ggml.qwen3-asr-0.6b@q8_0	de	fleurs/de_de	862	6.62	2.27	31.2	1587169104	0.26	Apple M5	26.6.2	2026-09-05
ggml.qwen3-asr-1.7b@q4_k_m	en	fleurs/en_us	647	4.29	1.87	19.7	2356414840	0.44	Apple M5	26.6.2	2026-09-05
